Player,Position,team,Birthday,Age,Height,Wingspan,Weight (lbs),Hand Width,Reach,Standing Vert (in),Max Vert (in),Lane (sec),Shuttle (sec),3/4 Sprint (sec),Ovr. Rank,Avg. Rank,ESPN,The Athletic,CBS Sports,Tankathon,The Ringer,No Ceilings,Bleacher Report,GP,GS,mp,MIN_per,pts,oreb,dreb,treb,ast,stl,blk,TOV,pfr,FGM,FGA,FG%,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,FTM,FTA,FT_per,TS_Per,PTS/36,OREB/36,DREB/36,TREB/36,AST/36,STL/36,BLK/36,TOV/36,PF/36,FGA/36,2PA/36,3PA/36,FTA/36,Info,eFG,ast/tov
"Sarr, Alexandre",C,Australia,4/26/2005,19.11,"7'1""","7'4.25""",224,"10""","9'2""",30.5,37,11.43,3.23,3.27,1,1.86,2,1,1,3,1,1,4,24,,17.2,0.4,9.7,1.4,3,4.4,0.9,0.5,1.3,1.1,1.4,3.7,7.1,0.52,3.1,5.2,0.605,0.6,2,0.298,1.7,2.3,0.714,0.654,20.3,2.9,6.3,9.2,1.9,1,2.7,2.3,2.9,7.7,10.9,4.2,4.8,https://www.basketball-reference.com/international/players/alexandre-sarr-1.html,56.338,0.818181818
"Topic, Nikola",PG,Serbia,8/10/2005,18.82,"6'6""","7'0""",200,,,,,,,,2,3.43,9,2,5,1,2,2,3,12,,33.8,0.8,18.4,0.8,2.8,3.6,7.1,1,0.2,3.2,3.8,6.7,12.8,0.523,5.5,8.3,0.667,1.2,4.5,0.259,3.9,4.6,0.855,0.698,19.6,0.9,3,3.8,7.6,1.1,0.2,3.4,4,7.1,8.8,4.8,4.9,https://www.basketball-reference.com/international/players/nikola-topic-1.html,57.031,2.21875
"Sheppard, Reed",PG,Kentucky,6/24/2004,19.95,"6'3""","6'6.23""",182,"9""","7'9.5""",32.5,42,10.96,3.03,3.08,3,4.71,4,4,7,4,7,5,2,33,5,28.9,0.7,12.5,0.4,3.8,4.1,4.5,2.5,0.7,2,1.9,4.3,8,0.536,2,3.6,0.555,2.3,4.4,0.521,1.6,2,0.831,0.747,15.6,0.5,4.7,5.1,5.6,3.1,0.9,2.5,2.4,5.4,4.5,5.5,2.5,https://www.sports-reference.com/cbb/players/reed-sheppard-2.html,68.125,2.25
"Castle, Stephon",SG,UConn,11/1/2004,19.6,"6'6.75""","6'9""",210,"8.75""","8'6""",28.5,37,10.93,2.91,3.19,4,5,6,3,3,7,3,3,10,34,30,27,0.7,11.1,1.7,3,4.7,2.9,0.8,0.5,1.5,2.4,4,8.5,0.472,3.4,6.3,0.544,0.6,2.2,0.267,2.4,3.2,0.755,0.628,14.8,2.3,4,6.3,3.9,1.1,0.7,2,3.2,5.3,8.4,2.9,4.3,https://www.sports-reference.com/cbb/players/stephon-castle-2.html,50.588,1.933333333
"Risacher, Zaccharie",SF,France,4/8/2005,19.16,"6'8""","6'11""",202,,,,,,,,5,5.71,1,8,2,2,12,6,9,32,,22,0.6,10.1,1.2,2.6,3.8,0.9,0.8,0.3,1.3,2.4,3.3,7.5,0.439,2.1,4.1,0.511,1.2,3.4,0.352,2.3,3.1,0.74,0.645,16.5,2,4.3,6.2,1.5,1.3,0.5,2.1,3.9,5.4,6.7,5.6,5.1,https://www.basketball-reference.com/international/players/zaccharie-risacher-1.html,52,0.692307692
"Clingan, Donovan",C,UConn,2/23/2004,20.29,"7'3""","7'6.75""",282,"10.25""","9'7""",25.5,29,12.06,3.38,3.46,6,6.71,3,5,11,5,8,4,11,35,33,22.5,0.6,13,2.5,4.9,7.4,1.5,0.5,2.5,0.8,2,5.3,8.3,0.639,5.3,8.1,0.65,0.1,0.2,0.25,2.3,4,0.583,0.76,20.8,4,7.8,11.8,2.4,0.8,4,1.3,3.2,8.5,13,0.3,6.4,https://www.sports-reference.com/cbb/players/donovan-clingan-1.html,64.458,1.875
"Buzelis, Matas",SF,G-League Ignite,10/13/2004,19.65,"6'10""","6'10""",197,"9.25""","8'9.5""",31,38,10.73,2.9,3.09,7,6.86,5,6,6,8,5,12,6,34,32,31,0.8,14.1,1.6,5,6.6,1.9,0.9,1.9,2.2,2.4,5.4,11.8,0.455,4.5,8.4,0.533,0.9,3.4,0.261,1.4,2,0.696,0.584,16.4,1.8,5.8,7.7,2.3,1.1,2.3,2.5,2.8,6.2,9.7,3.9,2.4,https://basketball.realgm.com/player/Matas-Buzelis/Summary/176589,49.235,0.889908257
"Holland, Ron",SF,G-League Ignite,7/7/2005,18.91,"6'7.25""","6'10.75""",197,"9""","8'8""",30,38,11.1,2.91,3.1,8,7,11,7,4,9,6,11,1,29,28,31.9,0.8,19.5,1.6,5.1,6.7,2.9,2.3,0.9,3.2,3.2,7.1,15.5,0.46,6.4,12.2,0.52,0.8,3.3,0.24,2.9,3.9,0.728,0.615,22,1.7,5.8,7.5,3.3,2.6,1,3.6,3.6,8.1,13.8,3.7,4.4,https://basketball.realgm.com/player/Ron-Holland/Summary/162288,48.55,0.903426791
"Dillingham, Rob",PG,Kentucky,1/4/2005,19.42,"6'2.25""","6'3""",164,"8.25""","7'11""",,,,,,9,7.57,7,10,13,6,4,8,5,32,1,23.3,0.6,15.2,0.3,2.7,2.9,3.9,1,0.1,2,2.6,5.4,11.3,0.475,3.4,6.8,0.495,2,4.5,0.444,2.4,3.1,0.796,0.652,23.5,0.5,4.2,4.5,6,1.5,0.2,3.1,4,8.3,10.5,7,4.8,https://www.sports-reference.com/cbb/players/rob-dillingham-1.html,56.637,1.95
"Knecht, Dalton",SF,Tennessee,4/19/2001,23.13,"6'6.5""","6'9""",212,"9.5""","8'7.5""",31,39,10.56,2.79,3.07,10,10,8,11,8,10,11,9,13,36,36,30.6,0.8,21.7,0.8,4.1,4.9,1.8,0.7,0.6,1.7,1.8,7.3,16,0.458,4.8,9.5,0.499,2.6,6.5,0.397,4.4,5.7,0.772,0.664,25.5,0.9,4.8,5.8,2.1,0.8,0.7,2,2.1,8.6,11.2,7.6,6.7,https://www.sports-reference.com/cbb/players/dalton-knecht-1.html,53.75,1.058823529
