Player,GP,mp,MIN_per,pts,oreb,dreb,treb,ast,stl,blk,pfr,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,FTM,FTA,FT_per,TS_Per,eFG,ast_tov
"Sarr, Alexandre",24.0,17.2,0.4,9.7,1.4,3.0,4.4,0.9,0.5,1.3,1.4,3.1,5.2,0.605,0.6,2.0,0.298,1.7,2.3,0.714,0.654,56.338,0.8181818182
"Topic, Nikola",12.0,33.8,0.8,18.4,0.8,2.8,3.6,7.1,1.0,0.2,3.8,5.5,8.3,0.667,1.2,4.5,0.259,3.9,4.6,0.855,0.698,57.031,2.21875
"Sheppard, Reed",33.0,28.9,0.7,12.5,0.4,3.8,4.1,4.5,2.5,0.7,1.9,2.0,3.6,0.555,2.3,4.4,0.521,1.6,2.0,0.831,0.747,68.125,2.25
"Castle, Stephon",34.0,27.0,0.7,11.1,1.7,3.0,4.7,2.9,0.8,0.5,2.4,3.4,6.3,0.544,0.6,2.2,0.267,2.4,3.2,0.755,0.628,50.588,1.933333333
"Risacher, Zaccharie",32.0,22.0,0.6,10.1,1.2,2.6,3.8,0.9,0.8,0.3,2.4,2.1,4.1,0.511,1.2,3.4,0.352,2.3,3.1,0.74,0.645,52.0,0.6923076923
"Clingan, Donovan",35.0,22.5,0.6,13.0,2.5,4.9,7.4,1.5,0.5,2.5,2.0,5.3,8.1,0.65,0.1,0.2,0.25,2.3,4.0,0.583,0.76,64.458,1.875
"Buzelis, Matas",34.0,31.0,0.8,14.1,1.6,5.0,6.6,1.9,0.9,1.9,2.4,4.5,8.4,0.533,0.9,3.4,0.261,1.4,2.0,0.696,0.584,49.235,0.8899082569
"Holland, Ron",29.0,31.9,0.8,19.5,1.6,5.1,6.7,2.9,2.3,0.9,3.2,6.4,12.2,0.52,0.8,3.3,0.24,2.9,3.9,0.728,0.615,48.55,0.9034267913
"Dillingham, Rob",32.0,23.3,0.6,15.2,0.3,2.7,2.9,3.9,1.0,0.1,2.6,3.4,6.8,0.495,2.0,4.5,0.444,2.4,3.1,0.796,0.652,56.637,1.95
"Knecht, Dalton",36.0,30.6,0.8,21.7,0.8,4.1,4.9,1.8,0.7,0.6,1.8,4.8,9.5,0.499,2.6,6.5,0.397,4.4,5.7,0.772,0.664,53.75,1.058823529
"Williams, Cody",24.0,28.4,0.7,11.9,0.7,2.3,3.0,1.6,0.6,0.7,2.0,3.8,6.4,0.588,0.7,1.7,0.415,2.3,3.2,0.714,0.707,59.877,0.8
"McCain, Jared",36.0,31.6,0.8,14.3,0.8,4.2,5.0,1.9,1.1,0.1,1.6,2.4,4.7,0.521,2.4,5.8,0.414,2.1,2.4,0.885,0.657,58.095,1.461538462
"Carter, Devin",33.0,35.3,0.9,19.7,1.0,7.7,8.7,3.6,1.8,1.0,1.9,4.1,7.3,0.563,2.5,6.8,0.377,3.9,5.2,0.749,0.687,56.071,1.333333333
"Collier, Isaiah",27.0,30.0,0.8,16.3,0.6,2.3,2.9,4.3,1.5,0.2,2.4,4.7,8.7,0.543,1.0,3.0,0.338,3.9,5.8,0.673,0.685,53.448,1.303030303
"Walter, Ja'Kobe",35.0,32.3,0.8,14.5,1.3,3.1,4.4,1.4,1.1,0.2,2.1,2.0,4.7,0.423,2.1,6.3,0.341,4.1,5.2,0.792,0.645,47.248,1.076923077
