Name,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,eFG,REB,AST,STL,BLK,ast_tov
Zach Edey,39.0,32.0,25.2,8.6,13.8,62.3,0.0,0.1,50.0,7.9,11.2,71.1,62.31884057971014,12.2,2.0,0.3,2.2,0.8695652173913044
Tommy Bruner,34.0,33.8,24.0,7.7,17.7,43.5,2.4,6.8,35.3,6.2,7.6,80.8,50.282485875706215,2.8,4.2,1.3,0.1,1.1666666666666667
Terrence Shannon Jr.,32.0,34.0,23.0,6.8,14.4,47.5,2.4,6.7,36.2,6.9,8.6,80.1,55.55555555555556,4.0,2.3,1.0,0.9,1.15
Tyler Thomas,33.0,37.9,22.5,8.0,19.4,41.4,3.8,10.2,37.1,2.6,3.1,86.1,51.03092783505156,5.2,3.3,1.3,0.5,1.5714285714285712
Xavier Johnson,32.0,36.7,22.2,6.6,15.6,42.2,2.1,5.8,36.8,6.8,7.7,89.0,49.03846153846153,4.1,6.1,1.5,0.3,1.8484848484848484
David Jones,32.0,32.4,21.8,7.0,15.2,45.9,2.5,6.5,38.0,5.4,6.8,79.7,54.276315789473685,7.6,1.8,2.2,0.4,0.6
Tyson Acuff,27.0,37.9,21.7,8.1,18.7,43.3,1.8,6.2,29.2,3.7,4.5,81.1,48.12834224598931,3.6,2.8,1.1,0.1,1.4
Dalton Knecht,36.0,30.6,21.7,7.3,16.0,45.8,2.6,6.5,39.7,4.4,5.7,77.2,53.75,4.9,1.8,0.7,0.6,1.0588235294117647
Jordan Sears,32.0,33.6,21.6,7.1,16.4,43.2,2.4,5.5,43.2,5.1,6.0,83.9,50.609756097560975,4.6,4.5,1.3,0.2,1.40625
Tucker DeVries,34.0,35.5,21.6,7.2,16.2,44.4,2.6,7.1,36.3,4.6,5.7,81.3,52.46913580246913,6.7,3.7,1.6,0.3,1.48
Mark Sears,37.0,33.6,21.5,6.8,13.4,50.8,2.6,5.9,43.6,5.4,6.2,85.7,60.447761194029844,4.2,4.0,1.6,0.1,1.6666666666666667
Jaedon LeDee,36.0,32.6,21.4,7.3,13.1,56.0,0.6,1.3,44.4,6.3,8.6,73.4,58.01526717557252,8.4,1.3,1.2,0.5,0.5416666666666667
Jordan Johnson,32.0,35.8,21.3,6.6,17.0,38.7,2.5,7.4,34.0,5.7,6.9,82.4,46.17647058823529,3.2,3.8,1.5,0.2,1.5833333333333333
Jalen Blackmon,35.0,34.8,21.3,7.0,16.3,42.8,3.1,8.3,38.1,4.2,4.6,90.7,52.45398773006135,2.9,1.9,0.8,0.1,1.0
PJ Haggerty,31.0,33.6,21.2,6.4,13.0,49.3,0.7,2.5,28.9,7.6,10.0,76.7,51.92307692307693,5.5,3.8,1.9,0.0,1.4615384615384615
RJ Davis,37.0,34.8,21.2,7.0,16.4,42.8,3.1,7.7,39.8,4.1,4.7,87.3,52.13414634146343,3.6,3.5,1.2,0.2,2.3333333333333335
BJ Freeman,27.0,32.2,21.1,7.0,16.6,42.2,2.4,7.0,35.1,4.7,5.7,82.4,49.39759036144578,6.6,4.1,1.1,0.4,1.1388888888888888
Vonterius Woolbright,32.0,35.3,21.1,7.4,16.0,46.0,0.3,1.3,24.4,6.0,8.4,71.7,47.18750000000001,12.0,5.6,0.6,0.0,1.5999999999999999
Keion Brooks Jr.,32.0,35.1,21.1,7.1,14.6,48.7,1.6,4.3,38.0,5.2,6.5,79.4,54.10958904109589,6.8,1.4,0.7,0.8,0.7368421052631579
Riley Minix,35.0,33.8,20.9,7.8,14.4,54.1,1.7,4.8,34.9,3.7,4.4,83.9,60.06944444444444,9.7,2.2,1.3,1.0,0.9565217391304349
Landon Glasper,24.0,36.1,20.9,6.3,17.8,35.7,2.6,8.6,30.0,5.6,7.4,75.8,42.69662921348314,3.6,2.2,1.4,0.1,1.1578947368421053
Jayden Stone,26.0,35.9,20.8,7.2,17.1,42.2,2.4,7.7,31.2,4.0,5.0,79.4,49.122807017543856,5.6,2.7,1.5,0.3,1.08
Dillon Jones,31.0,37.0,20.8,6.9,14.2,48.9,1.1,3.4,32.4,5.8,6.8,85.7,52.464788732394375,9.8,5.2,2.0,0.1,1.7333333333333334
